,project,R1,R5,R10,R50,R100
100,mockito,0.8804,0.5291,0.2799,0.0017,0.0000
101,freecol,0.7139,0.1855,0.0344,0.0000,0.0000
102,jmeter,0.6900,0.1564,0.0245,0.0000,0.0000
103,heritrix3,0.9183,0.6530,0.4264,0.0141,0.0002
104,javaparser,0.8193,0.3691,0.1362,0.0000,0.0000
105,itextpdf,0.8847,0.5419,0.2937,0.0022,0.0000
106,ant,0.7202,0.1937,0.0375,0.0000,0.0000
107,druid,0.5578,0.0540,0.0029,0.0000,0.0000
108,spring-boot,0.5980,0.0765,0.0059,0.0000,0.0000
109,jfreechart,0.9759,0.8849,0.7831,0.2946,0.0868
110,groovy,0.5691,0.0597,0.0036,0.0000,0.0000
111,Firestorm,0.9311,0.6997,0.4895,0.0281,0.0008
112,cobertura,0.9556,0.7967,0.6347,0.1030,0.0106
113,xmlgraphics-batik,0.8838,0.5393,0.2908,0.0021,0.0000
114,drjava,0.8485,0.4399,0.1935,0.0003,0.0000
115,auto,0.9258,0.6802,0.4626,0.0212,0.0004
116,visualvm,0.6696,0.1346,0.0181,0.0000,0.0000
