,project,GitHub,R1,R5,R10,number-of-commits,number-of-entities,number-of-entities-changed,number-of-authors,max-age-months,avg-age-months,avg2-degree-coupling,avg2-strength-communication,avg2-author-revs-effort,avg2-total-revs-effort,avg2-ownership-added,avg2-ownership-deleted,avg-author-churn-added,avg-author-churn-deleted,avg-author-churn-commits,avg-entity-churn-added,avg-entity-churn-deleted,avg-entity-churn-commits,avg-fragmentation-fractal-value,avg-fragmentation-total-revs,avg-main-dev-ownership,avg-refactoring-main-dev-ownership,avg-revisions,avg-soc
10,tika,https://github.com/apache/tika.git ,0.8274,0.3879,0.1504,7862.0,15414.0,48686.0,175.0,212.0,61.788049824834566,53.004016622731704,8.790351896434624,1.4513117560786515,3.1585571558323604,442.5573272997617,223.0671526405384,43996.34285714286,23752.4,44.925714285714285,499.5043466978072,269.66848319709356,3.1585571558323604,0.09931828208122657,3.1585571558323604,0.3625437913585038,0.2947703386531718,3.1585571558323604,1006.670659097203
11,Hystrix,https://github.com/Netflix/Hystrix.git ,0.9502,0.7747,0.6001,1478.0,821.0,4410.0,142.0,154.0,108.98538367844093,49.21481481481481,22.359941707499754,2.5729531025207026,5.3714981729598055,114.37379106209802,54.40807217548996,1252.0985915492959,650.2183098591549,10.408450704225352,216.56272838002437,112.46163215590742,5.3714981729598055,0.19091473812423854,5.3714981729598055,0.8621680876979296,0.6853958587088915,5.3714981729598055,84.39339752407153
12,cobertura,https://github.com/cobertura/cobertura.git,0.9556,0.7967,0.6347,966.0,2302.0,5736.0,69.0,259.0,154.2958297132928,61.34471976824918,15.559927598481547,1.6047913663226434,2.491746307558645,128.03980911645556,104.98602991877318,6954.304347826087,6066.231884057971,14.0,208.44787141615987,181.82884448305822,2.491746307558645,0.10892267593397023,2.491746307558645,0.5907211120764552,0.5664943527367512,2.491746307558645,343.0179613830265
13,gora,https://github.com/apache/gora.git ,0.9656,0.8396,0.7049,1245.0,1689.0,7113.0,76.0,172.0,106.62640615748964,59.82748541812713,9.316730971871698,1.5616012355343578,4.211367673179396,76.63363170849365,38.149525858741235,3514.934210526316,1749.2894736842106,16.38157894736842,158.16163410301954,78.71284783895797,4.211367673179396,0.21552397868561257,4.211367673179396,0.6978034339846073,0.4499585553582,4.211367673179396,179.1510611735331
14,jenkins,https://github.com/jenkinsci/jenkins.git ,0.408,0.0113,0.0001,30868.0,25772.0,139775.0,1098.0,219.0,87.6227300946764,54.35402572441637,8.06779521664969,1.424822469987968,5.423521651404625,22.028276786702037,12.162976789973886,1474.011839708561,930.3260473588342,28.112932604735885,62.799355890113304,39.635961508614,5.423521651404625,0.3584617142635721,5.423521651404625,0.676385224274384,0.551911764705875,5.423521651404625,2015.450044711812
15,org.aspectj,https://github.com/eclipse/org.aspectj.git ,0.7672,0.2657,0.0706,8874.0,18670.0,52238.0,27.0,266.0,152.30658810926622,65.07861041221602,2.6367630892993215,1.6446864080393808,2.797964649169791,82.19586196342489,34.48169312877802,83120.33333333333,42305.96296296296,328.6666666666667,120.20615961435458,61.181628280664164,2.797964649169791,0.15682592394215525,2.797964649169791,0.7722528119978526,0.4144665238350288,2.797964649169791,711.9020803443328
16,tinker,https://github.com/Tencent/tinker.git,0.9398,0.733,0.5372,719.0,533.0,2607.0,47.0,101.0,69.83302063789868,48.59375,22.60929342595456,2.0930120015485865,4.891181988742964,88.96305242860122,22.284506313469727,1965.404255319149,581.8297872340426,15.297872340425531,173.3095684803002,51.30581613508443,4.891181988742964,0.23377110694183853,4.891181988742964,0.87015009380863,0.5462851782363976,4.891181988742964,257.71011673151753
17,RxJava,https://github.com/ReactiveX/RxJava.git,0.8758,0.5153,0.2655,4834.0,10902.0,41457.0,339.0,154.0,90.63015960374243,59.71048071127185,16.747474446851673,1.5717363376589566,3.802696752889378,42.59786272249798,20.028003072317276,3248.5427728613568,1822.731563421829,14.259587020648967,101.01412584846817,56.678224179049714,3.802696752889378,0.22286818932306166,3.802696752889378,0.8126206200697055,0.7808686479545015,3.802696752889378,1341.8189230185817
18,commons-collections,https://github.com/apache/commons-collections.git,0.9223,0.6674,0.4455,4680.0,4994.0,29022.0,114.0,276.0,144.10212254705647,60.36170822102427,7.73786055477489,1.8727309906872285,5.811373648378054,36.19075877010039,25.825049229853448,4713.605263157895,3416.842105263158,41.05263157894737,107.59931918301962,77.99759711653985,5.811373648378054,0.24334601521826588,5.811373648378054,0.6145314377252712,0.6025030036043265,5.811373648378054,895.7769618128409
19,jetty.project,https://github.com/eclipse/jetty.project.git,0.4705,0.0231,0.0005,22517.0,43808.0,315054.0,240.0,190.0,58.21687819576333,53.02089646188118,5.168855057789632,1.9675294222436255,7.191700146092038,36.877822498970275,19.056491161532033,16543.183333333334,10534.425,93.82083333333334,90.63102629656683,57.71233564645727,7.191700146092038,0.18690951424395846,7.191700146092038,0.5698899744338775,0.49032710920379224,7.191700146092038,6346.048744598856
